Year,Event Date and Time,Restoration Date and Time,Duration,Utility/Power Pool,NERC Region,Area Affected,Type of Disturbance,Loss (megawatts),Number of Customers Affected
2015,12/09/2015  4:00 AM,12/09/2015 11:00 AM,"7 Hours,  0 Minutes",Puget Sound Energy,WECC,Washington,"Loss of electric service to more than 50,000 customers for 1 hour or more - Severe Weather",115,76300
2015,12/09/2015  6:06 PM,12/09/2015  9:52 PM,"3 Hours, 46 Minutes",Puerto Rico Electric Power Authority,,Puerto Rico,System-wide voltage reductions of 3 percent or more - System Operations,0,0
2015,12/10/2015  3:53 AM,12/10/2015  4:08 AM,"0 Hours, 15 Minutes",Pacific Gas & Electric Co,WECC,California: Plumas County,Electrical System Separation (Islanding) where part or parts of a power grid remain(s) operational - Severe Weather,24,9956
2015,12/10/2015  6:01 AM,12/10/2015  7:13 AM,"1 Hours, 12 Minutes",Pacific Gas & Electric Co,WECC,California: Northern;,Electrical System Separation (Islanding) where part or parts of a power grid remain(s) operational - Severe Weather,29,9956
2015,12/10/2015  9:25 PM,12/10/2015 10:30 PM,"1 Hours,  5 Minutes",Ameren Missouri,SERC,Missouri: New Madrid County;,Uncontrolled loss of 300 Megawatts or more of firm system loads for more than 15 minutes from a single incident - Transmission Interruption,400,1
2015,12/24/2015  3:00 AM,12/26/2015 12:00 AM,"45 Hours,  0 Minutes",Consumers Energy Co,RFC,"Michigan: Antrim County, Charlevoix County, Manistee County, Mecosta County, Kalkaska County, Grand Traverse County, Osceola County, Lake County, Newaygo County, Clare County, Isabella County;","Loss of electric service to more than 50,000 customers for 1 hour or more - Severe Weather",Unknown,168000
2015,12/26/2015  6:00 PM,12/30/2015  6:00 AM,"84 Hours,  0 Minutes","Southwest Power Pool, Inc.",SPP,Texas: Oklahoma:,"Loss of electric service to more than 50,000 customers for 1 hour or more - Severe Weather",Unknown,116800
2015,12/26/2015  7:30 PM,ongoing,ongoing,Oncor Electric Delivery Company LLC,TRE,Texas,"Loss of electric service to more than 50,000 customers for 1 hour or more - Severe Weather",Unknown,70000
2015,12/27/2015  5:00 PM,ongoing,ongoing,Oklahoma Gas & Electric Co,SPP,Oklahoma,"Loss of electric service to more than 50,000 customers for 1 hour or more - Severe Weather",Unknown,50500
2015,12/27/2015 11:38 PM,12/28/2015  5:00 PM,"17 Hours, 22 Minutes",American Electric Power - (SPP Reliability Region),SPP,Oklahoma,"Loss of electric service to more than 50,000 customers for 1 hour or more - Severe Weather",Unknown,54476
2015,12/31/2015  5:00 PM,12/31/2015  9:40 PM,"4 Hours, 40 Minutes",Oklahoma Municipal Power Authority,SPP,Oklahoma: Blaine County;,Public appeal to reduce the use of electricity - Severe Weather,8,1500
"Note: Customers affected are estimates and are preliminary.
Source: Form OE-417, 'Electric Emergency Incident and Disturbance Report.'",,,,,,,,,
2016,01/10/2016  8:46 PM,01/11/2016  5:25 AM,"8 Hours, 39 Minutes",ISO New England,NPCC,Maine: Connecticut: Massachusetts: Vermont: New Hampshire: Rhode Island:,"Loss of electric service to more than 50,000 customers for 1 hour or more-Weather",Unknown,59859
2016,01/22/2016  3:52 PM,01/24/2016 12:30 PM,"44 Hours, 38 Minutes",Duke Energy Progress,SERC,North Carolina: South Carolina:,"Loss of electric service to more than 50,000 customers for 1 hour or more-Weather",Unknown,150000
2016,01/23/2016  7:49 AM,01/23/2016  9:05 AM,"1 Hours, 16 Minutes",FirstEnergy Corp. Jersey Central Power & Light,RFC,New Jersey:,"Loss of electric service to more than 50,000 customers for 1 hour or more-Weather",Unknown,50900
2016,02/05/2016 11:21 AM,02/06/2016  3:48 PM,"28 Hours, 27 Minutes",ISO New England,NPCC,Connecticut: Massachusetts: Rhode Island:,"Loss of electric service to more than 50,000 customers for 1 hour or more-Weather",Unknown,115057
2016,02/13/2016 12:44 PM,02/13/2016  4:27 PM,"3 Hours, 43 Minutes",Pacific Gas & Electric Co,SERC,California,Electrical System Separation (Islanding) where part or parts of a power grid remain(s) operational in an otherwise blacked out area or within the partial failure of an integrated electrical system-Islanding,7,4300
2016,02/16/2016  8:35 AM,02/16/2016  5:28 PM,"8 Hours, 53 Minutes","American Electric Power - (RFC Reliability Region) (8400 Smiths Mill Road, New Albany Ohio 43054)",RFC,"Virginia: Roanoke County, Montgomery County; West Virginia: Kanawha County, Cabell County; Tennessee: Sullivan County;","Loss of electric service to more than 50,000 customers for 1 hour or more-Weather",Unknown,52640
2016,02/19/2016 10:00 PM,02/20/2016 11:13 PM,"25 Hours, 13 Minutes",Detroit Edison Co,RFC,Michigan,"Loss of electric service to more than 50,000 customers for 1 hour or more-Weather",Unknown,145314
2016,02/24/2016  2:45 PM,02/25/2016  5:00 AM,"14 Hours, 15 Minutes",Duke Energy Carolinas,SERC,North Carolina: South Carolina,"Loss of electric service to more than 50,000 customers for 1 hour or more-Weather",400,284610
2016,02/25/2016  1:44 AM,02/25/2016  2:45 PM,"13 Hours,  1 Minutes",ISO New England,NPCC,Connecticut: Maine: Massachusetts: Rhode Island: Vermont:,"Loss of electric service to more than 50,000 customers for 1 hour or more-Weather",Unknown,114190
2016,02/26/2016 12:01 AM,ongoing,ongoing,California Department of Water Resources,WECC,California: San Bernardino County,Fuel supply emergencies that could impact electric power system adequacy or reliability-Fuel Supply Deficiency,0,0
2016,03/01/2016  3:00 PM,ongoing,ongoing,Puget Sound Energy,WECC,"Washington: King County, Whatcom County, Kitsap County, Skagit County;","Loss of electric service to more than 50,000 customers for 1 hour or more-Weather",Unknown,56000
2016,03/03/2016 11:00 AM,04/16/2016  7:47 PM,"1,064 Hours, 47 Minutes",California Department of Water Resources,WECC,California: San Bernardino County;,Fuel supply emergencies that could impact electric power system adequacy or reliability-Fuel Supply Deficiency,0,0
2016,03/23/2016  5:00 AM,03/25/2016 11:59 PM,"66 Hours, 59 Minutes",Xcel Energy/Public Service Company of Colorado,WECC,"Colorado: Denver, City and County of[12];","Loss of electric service to more than 50,000 customers for 1 hour or more-Weather",0,0
2016,04/02/2016 11:08 AM,04/02/2016 11:33 AM,"0 Hours, 25 Minutes",California Department of Water Resources,WECC,California,Uncontrolled loss of 300 Megawatts or more of firm system loads for more than 15 minutes from a single incident-System Operations,360,0
2016,04/18/2016  5:05 AM,04/20/2016  7:55 AM,"50 Hours, 50 Minutes",CenterPoint Energy,TRE,Texas: Harris County,"Loss of electric service to more than 50,000 customers for 1 hour or more-Weather",Unknown,415103
2016,04/27/2016  5:50 AM,04/28/2016  1:35 AM,"19 Hours, 45 Minutes",CenterPoint Energy,TRE,Texas: Harris County,"Loss of electric service to more than 50,000 customers for 1 hour or more-Weather",Unknown,214864
2016,05/08/2016  9:12 AM,ongoing,ongoing,Peak Reliability,WECC,Washington: Clark County;,Electrical System Separation (Islanding) where part or parts of a power grid remain(s) operational in an otherwise blacked out area or within the partial failure of an integrated electrical system-Islanding,Unknown,Unknown
2016,05/10/2016  8:45 PM,05/13/2016  3:00 AM,"54 Hours, 15 Minutes",Oncor Electric Delivery Company LLC,TRE,"Texas: Dallas County, Tarrant County, Parker County;","Loss of electric service to more than 50,000 customers for 1 hour or more-Distribution Interruption",Unknown,85000
2016,05/19/2016  9:36 PM,05/20/2016  1:00 AM,"3 Hours, 24 Minutes",Pacificorp,WECC,Utah:,Uncontrolled loss of 300 Megawatts or more of firm system loads for more than 15 minutes from a single incident-System Operations,461,85179
2016,05/20/2016 12:00 AM,05/22/2016  5:00 AM,"53 Hours,  0 Minutes","Entergy Services, Inc.",SERC,Louisiana:,"Loss of electric service to more than 50,000 customers for 1 hour or more-Distribution Interruption",Unknown,85000
2016,05/20/2016  1:15 AM,.        .,". Hours,  . Minutes",Entergy Transmission - SOC,SERC,Louisiana:,"Loss of electric service to more than 50,000 customers for 1 hour or more-Weather",Unknown,57184
2016,05/31/2016  7:30 AM,06/13/2016  7:27 AM,"311 Hours, 57 Minutes",Upstate New York Power Producers,NPCC,New York: Tompkins County;,Fuel supply emergencies that could impact electric power system adequacy or reliability-Fuel Supply Deficiency,150,Unknown
2016,06/17/2016  3:40 PM,06/18/2016  8:34 AM,"16 Hours, 54 Minutes",Southern Company,SERC,"Georgia, Alabama, Mississippi, Florida","Loss of electric service to more than 50,000 customers for 1 hour or more-Weather",304,91260
2016,07/05/2016  2:45 AM,07/06/2016  3:00 AM,"24 Hours, 15 Minutes",Oncor Electric Delivery Company LLC,TRE,"Texas: Dallas County, Tarrant County","Loss of electric service to more than 50,000 customers for 1 hour or more-Severe Weather",Unknown,52000
2016,07/05/2016  5:30 PM,07/06/2016  4:00 PM,"22 Hours, 30 Minutes",Northern States Power Co,MRO,"Minnesota, Wisconsin","Loss of electric service to more than 50,000 customers for 1 hour or more-Severe Weather",Unknown,250000
2016,07/07/2016  4:20 AM,07/07/2016  8:00 AM,"3 Hours, 40 Minutes",Kansas City Power & Light Co,SERC,"Kansas: Johnson County; Missouri: Jackson County, Platte County, Cass County, Buchanan County, Atchison County, Andrew County, Clay County, Nodaway County","Loss of electric service to more than 50,000 customers for 1 hour or more-Severe Weather",Unknown,58500
2016,07/08/2016  6:00 PM,ongoing,ongoing,"American Electric Power - (RFC Reliability Region) (8400 Smiths Mill Road, New Albany Ohio 43054)",RFC,West Virginia: Virginia,"Loss of electric service to more than 50,000 customers for 1 hour or more-Severe Weather",Unknown,62961
2016,07/08/2016  7:00 PM,07/09/2016 12:00 AM,"5 Hours,  0 Minutes",Detroit Edison Co,RFC,"Michigan: Wayne County, Oakland County, Macomb County, St. Clair County, Lapeer County, Tuscola County, Sanilac County, Huron County","Loss of electric service to more than 50,000 customers for 1 hour or more-Severe Weather",Unknown,160895
2016,07/08/2016  8:50 PM,07/09/2016  7:25 PM,"22 Hours, 35 Minutes",Duke Energy Carolinas,SERC,North Carolina,"Loss of electric service to more than 50,000 customers for 1 hour or more-Severe Weather",600,203345
2016,07/09/2016  5:45 PM,07/11/2016  2:00 PM,"44 Hours, 15 Minutes",Oncor Electric Delivery Company LLC,TRE,Texas: Dallas County,"Loss of electric service to more than 50,000 customers for 1 hour or more-Severe Weather",Unknown,62000
2016,07/12/2016  2:10 PM,07/12/2016  8:33 PM,"6 Hours, 23 Minutes",Puerto Rico Electric Power Authority,PR,Puerto Rico,Voltage Reduction-System Operations,450,218000
2016,07/13/2016  3:00 PM,ongoing,ongoing,Memphis Light Gas and Water Division,SERC,Tennessee: Shelby County,Public Appeal-System Operations,Unknown,Unknown
2016,07/14/2016  2:44 PM,07/15/2016  4:00 AM,"13 Hours, 16 Minutes",American Electric Power - (SPP Reliability Region),SPP,Oklahoma,"Loss of electric service to more than 50,000 customers for 1 hour or more-Severe Weather",Unknown,96966
2016,07/14/2016  4:30 PM,07/16/2016 12:00 AM,"31 Hours, 30 Minutes","Entergy Services, Inc.","SPP, SERC,",Arkansas: Louisiana: Mississippi: Texas,"Loss of electric service to more than 50,000 customers for 1 hour or more-Severe Weather",Unknown,170244
2016,07/14/2016  5:30 PM,07/16/2016  8:00 PM,"50 Hours, 30 Minutes",Oklahoma Gas & Electric Co,SPP,Oklahoma: Arkansas,"Loss of electric service to more than 50,000 customers for 1 hour or more-Severe Weather",Unknown,7300
2016,07/19/2016  3:45 PM,07/19/2016  7:25 PM,"3 Hours, 40 Minutes",Pacificorp,WECC,Idaho,"Islanding, Uncontrolled Loss 300+ MW-System Operations",485,Unknown
2016,07/19/2016  3:45 PM,07/19/2016  7:29 PM,"3 Hours, 44 Minutes",Bonneville Power Administration,WECC,Idaho,"Islanding, Uncontrolled Loss 300+ MW-System Operations",290,Unknown
2016,07/21/2016  7:21 PM,07/22/2016 12:09 AM,"4 Hours, 48 Minutes",Puerto Rico Electric Power Authority,PR,Puerto Rico,"Load Shed 100+ MW, Voltage Reduction-System Operations",200,266000
2016,07/22/2016 11:50 PM,07/23/2016  9:10 AM,"9 Hours, 20 Minutes",ISO New England,NPCC,Massachusetts: Connecticut: Rhode Island: New Hampshire: Vermont: Maine,"Loss of electric service to more than 50,000 customers for 1 hour or more-Severe Weather",Unknown,57058
2016,07/23/2016  3:15 PM,07/23/2016  7:53 PM,"4 Hours, 38 Minutes",CAmbria Cogen Company,RFC,Pennsylvania: Cambria County,Voltage Reduction-System Operations,87,Unknown
2016,07/23/2016  7:30 PM,07/24/2016  7:30 AM,"12 Hours,  0 Minutes",ISO New England,NPCC,Connecticut: Massachusetts: New Hampshire: Vermont: Rhode Island,"Loss of electric service to more than 50,000 customers for 1 hour or more-Severe Weather",Unknown,101073
2016,07/25/2016  6:51 PM,07/26/2016  2:19 AM,"7 Hours, 28 Minutes",Puerto Rico Electric Power Authority,PR,Puerto Rico,Voltage Reduction-System Operations,0,0
2016,07/26/2016  6:51 PM,07/27/2016  1:45 AM,"6 Hours, 54 Minutes",Puerto Rico Electric Power Authority,PR,Puerto Rico,Voltage Reduction-System Operations,25,37100
2016,07/27/2016  6:50 PM,07/28/2016  1:38 AM,"6 Hours, 48 Minutes",Puerto Rico Electric Power Authority,PR,Puerto Rico,Voltage Reduction-System Operations,80,106300
2016,07/28/2016  6:51 PM,07/29/2016  2:02 AM,"7 Hours, 11 Minutes",Puerto Rico Electric Power Authority,PR,Puerto Rico,Voltage Reduction-System Operations,22,21600
2016,07/29/2016  7:09 PM,07/29/2016  7:57 PM,"0 Hours, 48 Minutes",Puerto Rico Electric Power Authority,PR,Puerto Rico,Voltage Reduction-System Operations,0,0
2016,08/07/2016  6:39 PM,08/07/2016  8:27 PM,"1 Hours, 48 Minutes",Peak Reliability,WECC,New Mexico: Bernalillo County;,Uncontrolled loss of 300 Megawatts or more of firm system loads for more than 15 minutes from a single incident-System Operations,Unknown,Unknown
2016,08/10/2016  6:00 AM,ongoing,ongoing,California Department of Water Resources,WECC,California: Butte County;,Fuel supply emergencies that could impact electric power system adequacy or reliability-Fuel Supply Deficiency,0,0
2016,08/11/2016  4:30 PM,08/11/2016  7:15 PM,"2 Hours, 45 Minutes",FirstEnergy Corp,RFC,Ohio:,"Loss of electric service to more than 50,000 customers for 1 hour or more-Severe Weather",Unknown,62140
2016,08/13/2016 11:42 AM,08/13/2016  2:07 PM,"2 Hours, 25 Minutes","Broad River Energy, LLC",SERC,South Carolina:,Uncontrolled loss of 300 Megawatts or more of firm system loads for more than 15 minutes from a single incident-System Operations,506,0
2016,08/23/2016  5:00 PM,08/24/2016 12:05 AM,"7 Hours,  5 Minutes",CenterPoint Energy,TRE,Texas: Harris County;,"Loss of electric service to more than 50,000 customers for 1 hour or more-Severe Weather",Unknown,72200
2016,08/24/2016  6:13 PM,08/24/2016  7:14 PM,"1 Hours,  1 Minutes",Puerto Rico Electric Power Authority,PR,Puerto Rico:,Uncontrolled loss of 300 Megawatts or more of firm system loads for more than 15 minutes from a single incident-System Operations,600,400000
2016,08/24/2016  7:18 PM,08/24/2016  7:47 PM,"0 Hours, 29 Minutes",Peak Reliability,WECC,Washington: King County;,Electrical System Separation (Islanding) where part or parts of a power grid remain(s) operational in an otherwise blacked out area or within the partial failure of an integrated electrical system-Islanding,9232,Unknown
2016,08/31/2016  9:45 AM,08/31/2016  9:55 AM,"0 Hours, 10 Minutes",Peak Reliability,WECC,Colorado:,Electrical System Separation (Islanding) where part or parts of a power grid remain(s) operational in an otherwise blacked out area or within the partial failure of an integrated electrical system-Transmission Interruption,0,0
2016,08/31/2016  2:52 PM,ongoing,ongoing,Peak Reliability,WECC,Washington: Clark County;,Electrical System Separation (Islanding) where part or parts of a power grid remain(s) operational in an otherwise blacked out area or within the partial failure of an integrated electrical system-Islanding,0,0
2016,09/01/2016 10:00 PM,ongoing,ongoing,Seminole Electric Cooperative Inc,FRCC,Florida:,"Loss of electric service to more than 50,000 customers for 1 hour or more-Severe Weather",100,Unknown
2016,09/02/2016 12:40 AM,09/04/2016  8:00 PM,"67 Hours, 20 Minutes",City of Tallahassee - (FL),FRCC,"Florida: Leon County, Wakulla County;","Loss of electric service to more than 50,000 customers for 1 hour or more-Severe Weather",450,75000
2016,09/02/2016  4:00 AM,09/02/2016  4:00 PM,"12 Hours,  0 Minutes",Duke Energy Florida,FRCC,"Florida: Alachua County, Bay County, Citrus County, Columbia County, Dixie County, Franklin County, Gilchrist County, Gulf County, Hamilton County, Hardee County, Hernando County, Highlands County, Jefferson County, Lafayette County, Lake County, Levy County, Madison County, Marion County, Orange County, Osceola County, Pasco County, Pinellas County, Polk County, Seminole County, Sumter County, Su","Loss of electric service to more than 50,000 customers for 1 hour or more-Severe Weather",225,90000
2016,09/02/2016  5:45 AM,09/03/2016 12:30 AM,"18 Hours, 45 Minutes",Southern Company,SERC,Georgia:,"Loss of electric service to more than 50,000 customers for 1 hour or more-Severe Weather",Unknown,57000
2016,09/06/2016  6:12 PM,09/06/2016  9:24 PM,"3 Hours, 12 Minutes",Peak Reliability,WECC,Washington: Clark County;,Electrical System Separation (Islanding) where part or parts of a power grid remain(s) operational in an otherwise blacked out area or within the partial failure of an integrated electrical system-Islanding,300,Unknown
2016,09/08/2016  8:30 AM,09/25/2016 12:00 AM,"399 Hours, 30 Minutes",Upstate New York Power Producers,NPCC,New York: Tompkins County;,Fuel supply emergencies that could impact electric power system adequacy or reliability-Fuel Supply Deficiency,210,Unknown
2016,09/08/2016  2:49 PM,09/08/2016  3:03 PM,"0 Hours, 14 Minutes",Peak Reliability,WECC,Washington:,Electrical System Separation (Islanding) where part or parts of a power grid remain(s) operational in an otherwise blacked out area or within the partial failure of an integrated electrical system-Islanding,0,0
2016,09/10/2016  9:42 AM,09/10/2016  9:57 AM,"0 Hours, 15 Minutes",Peak Reliability,WECC,Washington: Clark County;,Load shedding of 100 Megawatts or more implemented under emergency operational policy-Generation Inadequacy,135,Unknown
2016,09/11/2016 12:05 PM,09/11/2016  3:10 PM,"3 Hours,  5 Minutes",ISO New England,NPCC,Connecticut: Massachusetts: New Hampshire: Rhode Island: Vermont: Maine:,"Loss of electric service to more than 50,000 customers for 1 hour or more-Severe Weather",Unknown,57960
2016,09/12/2016 12:30 PM,09/12/2016  5:56 PM,"5 Hours, 26 Minutes",Public Service Company of New Mexico,WECC,"New Mexico: Bernalillo County, Sandoval County, Santa Fe County, Valencia County;",Load shedding of 100 Megawatts or more implemented under emergency operational policy-Generation Inadequacy,110,53753
2016,09/21/2016  2:30 PM,09/24/2016  2:30 AM,"60 Hours,  0 Minutes",Puerto Rico Electric Power Authority,,Puerto Rico:,Complete operational failure or shut-down of the transmission and/or distribution electrical system-System Operations,2750,1475000
2016,09/22/2016 10:56 AM,09/22/2016 11:41 AM,"0 Hours, 45 Minutes",Cedar Falls Utilities,MRO,Iowa: Black Hawk County;,Complete operational failure or shut-down of the transmission and/or distribution electrical system-System Operations,69,19124
2016,10/02/2016 11:30 PM,10/05/2016  8:00 AM,"56 Hours, 30 Minutes",Pacificorp,WECC,Utah:,Public appeal to reduce the use of electricity for purposes of maintaining the continuity of the electric power system-Transmission Interruption,50,4000
2016,10/03/2016  3:09 PM,10/04/2016  7:00 PM,"27 Hours, 51 Minutes",ERCOT,TRE,Texas:,Public appeal to reduce the use of electricity for purposes of maintaining the continuity of the electric power system-Public Appeal,Unknown,Unknown
2016,10/05/2016 11:32 AM,10/05/2016  7:00 PM,"7 Hours, 28 Minutes",ERCOT,TRE,Texas:,Public appeal to reduce the use of electricity for purposes of maintaining the continuity of the electric power system-Public Appeal,Unknown,Unknown
2016,10/06/2016  9:50 AM,10/06/2016  7:00 PM,"9 Hours, 10 Minutes",ERCOT,TRE,Texas:,Public appeal to reduce the use of electricity for purposes of maintaining the continuity of the electric power system-Public Appeal,Unknown,Unknown
2016,10/06/2016  7:30 PM,10/08/2016  6:00 PM,"46 Hours, 30 Minutes",Florida Power & Light,FRCC,Florida:,"Loss of electric service to more than 50,000 customers for 1 hour or more-Severe Weather",5600,1200000
2016,10/07/2016  8:00 AM,10/09/2016  1:00 PM,"53 Hours,  0 Minutes",Duke Energy Florida,FRCC,"Florida: Alachua County, Bay County, Citrus County, Columbia County, Dixie County, Franklin County, Gilchrist County, Gulf County, Hamilton County, Hardee County, Hernando County, Highlands County, Jefferson County, Lafayette County, Lake County, Levy County, Madison County, Marion County, Orange County, Osceola County, Pasco County, Pinellas County, Polk County, Seminole County, Sumter County, Su","Loss of electric service to more than 50,000 customers for 1 hour or more-Severe Weather",413,165000
2016,10/07/2016 11:08 AM,10/07/2016  7:00 PM,"7 Hours, 52 Minutes",ERCOT,TRE,Texas:,Public appeal to reduce the use of electricity for purposes of maintaining the continuity of the electric power system-Generation Inadequacy,Unknown,Unknown
2016,10/07/2016  4:22 PM,10/12/2016 11:00 AM,"114 Hours, 38 Minutes",Southern Company,SERC,Georgia:,"Loss of electric service to more than 50,000 customers for 1 hour or more-Severe Weather",122,36384
2016,10/07/2016 10:45 PM,ongoing,ongoing,Seminole Electric Cooperative Inc,FRCC,Florida:,"Loss of electric service to more than 50,000 customers for 1 hour or more-Severe Weather",Unknown,Unknown
2016,10/08/2016  1:10 AM,ongoing,ongoing,South Carolina Electric and Gas,SERC,South Carolina:,"Loss of electric service to more than 50,000 customers for 1 hour or more-Severe Weather",1050,290824
2016,10/08/2016  8:21 AM,10/13/2016  5:30 PM,"129 Hours,  9 Minutes",Duke Energy Progress,SERC,North Carolina: South Carolina:,"Loss of electric service to more than 50,000 customers for 1 hour or more-Severe Weather",Unknown,Unknown
2016,10/10/2016  1:15 PM,10/10/2016  7:00 PM,"5 Hours, 45 Minutes",ERCOT,TRE,Texas:,Public appeal to reduce the use of electricity for purposes of maintaining the continuity of the electric power system-Generation Inadequacy,Unknown,Unknown
2016,10/28/2016  1:29 PM,10/28/2016  1:38 PM,"0 Hours,  9 Minutes",Pacific Gas & Electric Co,WECC,California: Plumas County;,Electrical System Separation (Islanding) where part or parts of a power grid remain(s) operational in an otherwise blacked out area or within the partial failure of an integrated electrical system-Islanding,4,482
2016,11/09/2016 11:59 AM,11/09/2016  6:15 PM,"6 Hours, 16 Minutes",Modesto Irrigation District,WECC,"California: Stanislaus County, San Joaquin County, Alameda County, Tuolumne County;",Cyber event that could potentially impact electric power system adequacy or reliability-Cyber Attack,0,0
2016,12/15/2016  6:30 AM,ongoing,ongoing,California Department of Water Resources,WECC,California: Merced County;,Fuel supply emergencies that could impact electric power system adequacy or reliability-Fuel Supply Deficiency,Unknown,Unknown
2016,12/28/2016  4:03 AM,12/31/2016  6:00 AM,"73 Hours, 57 Minutes",California Department of Water Resources,WECC,California:,Fuel supply emergencies that could impact electric power system adequacy or reliability-Fuel Supply Deficiency,0,0
2016,12/30/2016  2:30 AM,12/30/2016  7:00 PM,"16 Hours, 30 Minutes",ISO New England,NPCC,Maine:,"Loss of electric service to more than 50,000 customers for 1 hour or more-Weather or Natural Disaster",Unknown,85263
"Note: Customers affected are estimates and are preliminary.
Source: Form OE-417, 'Electric Emergency Incident and Disturbance Report.'",,,,,,,,,
2017,01/08/2017  9:07 AM,01/13/2017  2:30 PM,"125 Hours, 23 Minutes",Pacific Gas & Electric Co,WECC,California:,"Loss of electric service to more than 50,000 customers for 1 hour or more-Severe Weather",Unknown,106000
2017,01/08/2017 11:59 PM,ongoing,ongoing,California Department of Water Resources,WECC,California:,Fuel supply emergencies that could impact electric power system adequacy or reliability-Fuel Supply Deficiency,0,0
2017,01/10/2017  7:30 PM,01/13/2017  2:30 PM,"67 Hours,  0 Minutes",Pacific Gas & Electric Co,WECC,California:,"Loss of electric service to more than 50,000 customers for 1 hour or more-Severe Weather",Unknown,87000
2017,01/15/2017  6:35 AM,01/15/2017  7:44 AM,"1 Hours,  9 Minutes",Los Angeles Department of Water & Power,WECC,California: Los Angeles County;,"Loss of electric service to more than 50,000 customers for 1 hour or more-Transmission Disruption",176,126000
2017,01/15/2017  9:27 AM,01/17/2017  1:58 AM,"40 Hours, 31 Minutes",Oklahoma Municipal Power Authority,SPP,Oklahoma: Harper County;,Electrical System Separation (Islanding) where part or parts of a power grid remain(s) operational in an otherwise blacked out area or within the partial failure of an integrated electrical system-Severe Weather,1,788
2017,01/18/2017  6:05 PM,01/19/2017 12:05 AM,"6 Hours,  0 Minutes",Pacific Gas & Electric Co,WECC,California:,"Loss of electric service to more than 50,000 customers for 1 hour or more-Severe Weather",Unknown,75000
2017,01/22/2017  4:15 AM,01/24/2017  2:00 PM,"57 Hours, 45 Minutes",Pacific Gas & Electric Co,WECC,California:,"Loss of electric service to more than 50,000 customers for 1 hour or more-Severe Weather",97,64000
2017,01/22/2017  6:00 AM,ongoing,ongoing,California Department of Water Resources,WECC,California:,Fuel supply emergencies that could impact electric power system adequacy or reliability-Fuel Supply Deficiency,0,0
2017,01/22/2017  4:00 PM,01/23/2017  3:26 AM,"11 Hours, 26 Minutes",Southern Company,SERC,Alabama: Georgia: Mississippi: Florida:,"Loss of electric service to more than 50,000 customers for 1 hour or more-Severe Weather",100,29965
2017,02/02/2017  1:04 AM,02/02/2017  5:00 AM,"3 Hours, 56 Minutes",Public Service Company of New Mexico,WECC,"New Mexico: Bernalillo County, Santa Fe County;",Uncontrolled loss of 300 Megawatts or more of firm system loads for more than 15 minutes from a single incident-Transmission Interruption,396,149223
2017,02/02/2017  1:11 AM,ongoing,ongoing,Peak Reliability,WECC,New Mexico: Bernalillo County;,Uncontrolled loss of 300 Megawatts or more of firm system loads for more than 15 minutes from a single incident-Transmission Interruption,400,Unknown
2017,02/13/2017  1:00 PM,02/15/2017  1:35 PM,"48 Hours, 35 Minutes",North Carolina Mun Power Agny #1,SERC,North Carolina: Union County;,Physical attack that could potentially impact electric power system adequacy or reliability; or vandalism which targets components of any security systems-Vandalism,0,0
2017,02/17/2017  8:09 AM,02/22/2017  7:30 PM,"131 Hours, 21 Minutes",Pacific Gas & Electric Co,WECC,California:,"Loss of electric service to more than 50,000 customers for 1 hour or more-Severe Weather",254,169250
2017,02/17/2017  1:00 PM,02/17/2017  1:15 PM,"0 Hours, 15 Minutes",Nevada Power Company d/b/a NV Energy,WECC,Nevada: Clark County;,Physical attack that could potentially impact electric power system adequacy or reliability; or vandalism which targets components of any security systems-Vandalism,0,0
2017,02/17/2017  3:00 PM,02/20/2017 11:00 AM,"68 Hours,  0 Minutes",LADWP,WECC,California: Los Angeles County;,"Loss of electric service to more than 50,000 customers for 1 hour or more-Severe Weather",Unknown,111591
2017,03/01/2017  8:30 AM,03/01/2017  2:00 PM,"5 Hours, 30 Minutes",Tennessee Valley Authority,SERC,Tennessee: Kentucky:,"Loss of electric service to more than 50,000 customers for 1 hour or more-Severe Weather",Unknown,58000
2017,03/01/2017 11:49 AM,03/02/2017  9:30 PM,"33 Hours, 41 Minutes",American Electric Power,RFC,Kentucky: West Virginia:,"Loss of electric service to more than 50,000 customers for 1 hour or more-Severe Weather",Unknown,98575
2017,03/02/2017 12:20 PM,03/02/2017 11:45 PM,"11 Hours, 25 Minutes",ISO New England,NPCC,Connecticut: Maine: Massachusetts: New Hampshire: Rhode Island: Vermont:,"Loss of electric service to more than 50,000 customers for 1 hour or more-Severe Weather",Unknown,54316
2017,03/06/2017  8:00 PM,03/07/2017  1:00 AM,"5 Hours,  0 Minutes",Kansas City Power & Light Co,SERC,"Missouri: Jackson County, Platte County, Cass County, Lafayette County, Chariton County, Carroll County, Clay County, Johnson County;","Loss of electric service to more than 50,000 customers for 1 hour or more-Severe Weather",Unknown,97734
2017,03/08/2017  9:30 AM,03/11/2017  5:00 AM,"67 Hours, 30 Minutes",Consumers Energy Co,RFC,"Michigan: Jackson County, Calhoun County, Ingham County, Hillsdale County, Washtenaw County, Kent County, Ottawa County, Midland County, Saginaw County;","Loss of electric service to more than 50,000 customers for 1 hour or more-Severe Weather",Unknown,343000
2017,03/08/2017 11:30 AM,03/08/2017  7:52 PM,"8 Hours, 22 Minutes",Cleveland Electric Illum Co,RFC,Ohio,"Loss of electric service to more than 50,000 customers for 1 hour or more-Severe Weather",Unknown,71012
